Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
CFF1	31487474	31487474	16461098	14069454	956922	10715288	5721055	5105412	665153	90.92	332576.5	2860527.5	2552706.0
CFF2	38412740	38412740	18740638	18271230	1400872	11985565	6585331	6088312	836503	91.43	418251.5	3292665.5	3044156.0
CFF3	18088858	18088858	9088625	8383704	616529	5871185	3217070	2841928	375882	91.11	187941.0	1608535.0	1420964.0
CRF2	29760967	29760967	17330526	11407917	1022524	8827848	6156632	7588313	3260411	89.66	1630205.5	3078316.0	3794156.5
CRF3	32212881	32212881	19355059	11750161	1107661	9633977	7301252	8539535	3601377	88.67	1800688.5	3650626.0	4269767.5
CRR1	17298200	17298200	10534998	6385546	377656	6521003	4525060	3104782	398148	86.92	199074.0	2262530.0	1552391.0
CRR2	30537623	30537623	18512172	11318253	707198	10794236	9393372	5330470	712030	84.62	356015.0	4696686.0	2665235.0
CRR3	29136806	29136806	17560434	10866500	709872	10696394	7663130	5335939	729011	86.85	364505.5	3831565.0	2667969.5
HCFF3	18088858	18088858	18088174	29	655	19	36173050	1427	1833	0.01	916.5	18086525.0	713.5
HCRR1	17298200	17298200	17297547	67	586	47	34592017	1196	1787	0.01	893.5	17296008.5	598.0
